YearsExperience,Age,EdLevel,Salary
6.87,29.91,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",90000.0
12.46,44.48,"Other doctoral degree (Ph.D., Ed.D., etc.)",50500.0
0.7000000000000002,29.05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9000.0
0.86,22.22,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",60000.0
4.27,27.01,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",105000.0
4.1,42.01,"Other doctoral degree (Ph.D., Ed.D., etc.)",90000.0
4.61,26.29,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5000.0
5.07,29.74,"Other doctoral degree (Ph.D., Ed.D., etc.)",164000.0
16.3,39.62,Some college/university study without earning a degree,30000000.0
22.49,48.16,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5000.0
6.72,36.75,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3500.0
2.56,18.64,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20000.0
3.81,30.34,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",33000.0
4.73,42.83,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",90000.0
19.86,42.86,"Other doctoral degree (Ph.D., Ed.D., etc.)",350000.0
1.24,27.44,"Associate degree (A.A., A.S., etc.)",1900.0
4.3,34.33,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",52000.0
3.94,17.9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2700000.0
1.55,32.89,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",72000.0
19.15,43.4,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6600.0
3.44,36.02,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",800000.0
5.14,27.91,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",75000.0
20.38,52.38,"Other doctoral degree (Ph.D., Ed.D., etc.)",320000.0
1.97,35.19,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2300.0
4.24,30.69,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20000.0
6.02,37.6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2300.0
5.61,31.12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",140000.0
20.5,37.19,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100000.0
1.59,35.18,"Other doctoral degree (Ph.D., Ed.D., etc.)",40000.0
2.84,22.18,Something else,30000000.0
22.009999999999998,33.64,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",300000.0
4.68,28.54,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",52000.0
6.15,33.16,Some college/university study without earning a degree,10000.0
15.69,38.32,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15000.0
1.81,21.52,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",91950.0
3.27,35.33,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22000.0
12.379999999999999,25.75,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2000000.0
7.42,41.85,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42000.0
11.19,40.21,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5500000.0
5.38,27.41,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2700000.0
12.58,37.9,"Other doctoral degree (Ph.D., Ed.D., etc.)",1450000.0
1.85,26.39,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31000.0
4.14,27.24,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",680000.0
10.86,28.55,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",67500.0
10.08,38.14,"Other doctoral degree (Ph.D., Ed.D., etc.)",100000.0
13.45,35.95,"Other doctoral degree (Ph.D., Ed.D., etc.)",45000.0
20.84,43.07,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",140000.0
21.26,46.55,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",130000.0
3.69,30.82,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40500.0
23.19,37.62,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",51000.0
6.08,28.87,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",300000000.0
2.42,28.97,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",110000.0
10.6,30.23,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",75000.0
6.82,29.19,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",54000.0
13.47,39.39,"Other doctoral degree (Ph.D., Ed.D., etc.)",5000.0
3.61,24.5,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",60000.0
25.54,45.48,"Other doctoral degree (Ph.D., Ed.D., etc.)",60000.0
6.67,43.58,"Other doctoral degree (Ph.D., Ed.D., etc.)",65000.0
28.84,53.71,Some college/university study without earning a degree,85000.0
12.26,39.37,"Other doctoral degree (Ph.D., Ed.D., etc.)",15000000.0
13.25,39.38,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4000000.0
7.76,27.7,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2580000.0
6.24,30.02,"Other doctoral degree (Ph.D., Ed.D., etc.)",60000.0
4.51,31.83,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",170000.0
10.42,26.96,"Professional degree (JD, MD, etc.)",40000.0
14.19,46.45,"Other doctoral degree (Ph.D., Ed.D., etc.)",225000.0
3.9,40.11,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",60000.0
5.82,36.62,"Other doctoral degree (Ph.D., Ed.D., etc.)",35000.0
7.35,22.66,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",49000.0
7.72,28.67,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3622.0
12.92,45.25,"Other doctoral degree (Ph.D., Ed.D., etc.)",115000.0
14.66,35.85,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2600000.0
4.61,31.13,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",49000.0
20.34,39.7,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",74000.0
0.8300000000000001,22.21,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",760000.0
2.55,34.9,"Other doctoral degree (Ph.D., Ed.D., etc.)",65000.0
3.48,32.5,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3500.0
38.5,57.29,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",240000.0
25.85,48.9,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50000.0
2.21,31.52,"Other doctoral degree (Ph.D., Ed.D., etc.)",105000.0
7.22,38.64,"Other doctoral degree (Ph.D., Ed.D., etc.)",80000.0
4.23,36.72,"Other doctoral degree (Ph.D., Ed.D., etc.)",80000.0
4.76,28.38,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2940.0
5.25,25.72,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2500.0
6.33,34.46,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",58000.0
11.8,40.53,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7500000.0
5.08,25.56,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",250000.0
9.59,42.05,"Other doctoral degree (Ph.D., Ed.D., etc.)",40927.0
4.37,30.49,"Other doctoral degree (Ph.D., Ed.D., etc.)",520000.0
12.24,41.15,"Other doctoral degree (Ph.D., Ed.D., etc.)",500000.0
6.23,25.56,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7000.0
0.03,18.59,"Professional degree (JD, MD, etc.)",100000.0
11.95,39.66,"Other doctoral degree (Ph.D., Ed.D., etc.)",58500.0
3.63,35.07,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3500.0
4.22,21.44,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22000.0
11.58,27.1,"Other doctoral degree (Ph.D., Ed.D., etc.)",130000.0
2.02,28.43,"Other doctoral degree (Ph.D., Ed.D., etc.)",153000.0
21.92,39.03,"Other doctoral degree (Ph.D., Ed.D., etc.)",68436.0
4.84,32.91,"Other doctoral degree (Ph.D., Ed.D., etc.)",70000.0
8.68,29.64,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",42000.0
3.64,22.11,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32000.0
3.05,30.18,Some college/university study without earning a degree,950000.0
2.12,32.17,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3800.0
10.91,32.43,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",86400.0
18.21,43.18,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",310000.0
11.52,39.99,"Other doctoral degree (Ph.D., Ed.D., etc.)",90000.0
10.53,38.49,"Professional degree (JD, MD, etc.)",140000.0
3.86,24.47,"Other doctoral degree (Ph.D., Ed.D., etc.)",58000.0
9.6,36.44,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",97000.0
19.45,38.02,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30000.0
10.11,27.83,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",65000.0
3.5,31.57,"Other doctoral degree (Ph.D., Ed.D., etc.)",85000.0
3.27,32.55,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",66500.0
3.81,34.54,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100000.0
5.22,31.73,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",135000.0
1.69,18.53,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50000.0
1.52,19.3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",170000.0
5.3,34.06,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",55.0
2.56,28.71,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32000.0
0.6200000000000001,31.11,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",70000000.0
20.87,45.43,"Other doctoral degree (Ph.D., Ed.D., etc.)",230000.0
5.99,32.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2180000.0
20.22,37.26,"Other doctoral degree (Ph.D., Ed.D., etc.)",150000.0
1.83,30.64,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",43000.0
1.03,29.95,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40000.0
3.5,26.62,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",60000.0
10.08,42.93,"Other doctoral degree (Ph.D., Ed.D., etc.)",3000000.0
9.42,24.24,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3000.0
5.1899999999999995,38.74,"Other doctoral degree (Ph.D., Ed.D., etc.)",100000.0
7.6,32.56,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",160000.0
48.0,66.06,"Associate degree (A.A., A.S., etc.)",1234.0
4.32,24.62,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",900000.0
19.75,39.75,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",140000.0
4.09,26.23,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",60000.0
10.02,32.65,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",626812.0
6.03,39.32,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",900000.0
2.91,19.04,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45000.0
5.43,32.21,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",90000.0
10.629999999999999,33.56,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",84000.0
23.04,38.7,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10000.0
5.23,32.14,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",68000.0
9.84,35.92,"Other doctoral degree (Ph.D., Ed.D., etc.)",250000.0
4.51,16.68,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20000.0
2.91,27.54,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",48000.0
4.04,26.53,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",94000.0
15.32,39.22,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",250000.0
7.9,33.22,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",62000.0
19.66,43.7,"Other doctoral degree (Ph.D., Ed.D., etc.)",60000.0
6.57,29.11,Some college/university study without earning a degree,115000.0
18.79,36.38,"Other doctoral degree (Ph.D., Ed.D., etc.)",50000.0
9.02,31.83,"Other doctoral degree (Ph.D., Ed.D., etc.)",100000.0
2.6399999999999997,32.9,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45000.0
2.9699999999999998,23.96,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",62000.0
7.71,28.84,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",175000.0
12.43,29.77,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2200.0
23.61,37.17,Some college/university study without earning a degree,250000.0
4.75,28.08,Some college/university study without earning a degree,80000.0
19.87,36.4,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",114000.0
10.04,25.41,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5400.0
5.35,33.55,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",150000.0
18.22,42.24,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",300000.0
0.3500000000000001,25.14,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",200000.0
11.76,41.2,"Other doctoral degree (Ph.D., Ed.D., etc.)",70000.0
6.28,28.82,"Other doctoral degree (Ph.D., Ed.D., etc.)",1000.0
8.02,29.84,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100000.0
7.97,30.79,"Other doctoral degree (Ph.D., Ed.D., etc.)",135000.0
3.3,30.67,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7000.0
14.51,34.37,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",38000.0
20.99,51.48,"Other doctoral degree (Ph.D., Ed.D., etc.)",73000.0
4.35,30.24,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25000.0
1.6,26.48,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2300.0
7.36,29.58,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",72000.0
11.14,35.64,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",120000.0
8.52,41.15,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",80000.0
5.16,32.72,"Professional degree (JD, MD, etc.)",7300.0
10.8,30.7,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",48000.0
